T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ABILENE ISD  -  221901",46
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ACADEMY ISD  -  014901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALAMO HEIGHTS ISD  -  015901",11
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALBA-GOLDEN ISD  -  250906",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALDINE ISD  -  101902",219
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALEDO ISD  -  184907",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALICE ISD  -  125901",28
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALIEF ISD  -  101903",124
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALLEN ISD  -  043901",42
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALTO ISD  -  037901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALVARADO ISD  -  126901",20
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALVIN ISD  -  020901",84
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ALVORD ISD  -  249901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AMARILLO ISD  -  188901",81
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANAHUAC ISD  -  036901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANDERSON-SHIRO CISD  -  093901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANDREWS ISD  -  002901",19
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANGLETON ISD  -  020902",20
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANNA ISD  -  043902",29
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANTHONY ISD  -  071906",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ANTON ISD  -  110901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARANSAS COUNTY ISD  -  004901",16
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARANSAS PASS ISD  -  205901",14
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARCHER CITY ISD  -  005901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARGYLE ISD  -  061910",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARLINGTON ISD  -  220901",237
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ARP ISD  -  212901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ASPERMONT ISD  -  217901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ATHENS ISD  -  107901",12
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"ATLANTA ISD  -  034901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AUBREY ISD  -  061907",12
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AUSTIN ISD  -  227901",137
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AVALON ISD  -  070901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AVINGER ISD  -  034902",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AXTELL ISD  -  161918",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"AZLE ISD  -  220915",35
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BALLINGER ISD  -  200901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BANDERA ISD  -  010902",18
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BANGS ISD  -  025901",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BANQUETE ISD  -  178913",-999
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BARBERS HILL ISD  -  036902",12
"2022-2023",07,"REGION VII KILGORE","HALLSVILLE ISD  -  102904","Traditional ISD/CSD",100,"Transfers In From",100,"BASTROP ISD  -  011901",48
