"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",100,"Transfers In From",100,"Bay City ISD (158901)",100
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",100,"Transfers In From",100,"Sweeny ISD (020906)",-9999999
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",100,"Transfers In From",200,"","."
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",100,"Transfers In From",300,"","."
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",100,"Bay City ISD (158901)",17
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",100,"Tidehaven ISD (158902)",-9999999
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",100,"Van Vleck ISD (158906)",-9999999
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",200,"","."
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",200,"Total Transfers Out",-9999999
"2013-14",03,"Region III Victoria","Matagorda ISD (158904)",200,"Transfers Out To",300,"","."

