T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Aledo ISD (184907)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Alvarado ISD (126901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Arlington ISD (220901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Burleson ISD (126902)",24
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Cleburne ISD (126903)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Denton ISD (061901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Duncanville ISD (057907)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Eagle Mt-Saginaw ISD (220918)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Everman ISD (220904)",28
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Fort Worth ISD (220905)",154
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Godley ISD (126911)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Granbury ISD (111901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Joshua ISD (126905)",16
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Keene ISD (126906)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Lake Worth ISD (220910)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Lancaster ISD (057913)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Lewisville ISD (061902)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Venus ISD (126908)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"White Settlement ISD (220920)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",100,"Whitney ISD (109911)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",200,,
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",266
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",100,"Transfers In From",300,,
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Advantage Academy (057806)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Aledo ISD (184907)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Alvarado ISD (126901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Arlington Classics Academy (220802)",14
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Arlington ISD (220901)",40
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Axtell ISD (161918)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Azle ISD (220915)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Birdville ISD (220902)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brazos River Charter School (213801)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Burleson ISD (126902)",87
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Carroll ISD (220919)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Castleberry ISD (220917)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Chapel Hill Academy (220815)",324
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Cleburne ISD (126903)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Dallas ISD (057905)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Duncanville ISD (057907)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Eagle Mt-Saginaw ISD (220918)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"East Fort Worth Montessori Academy (220811)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Everman ISD (220904)",33
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Fort Worth Academy Of Fine Arts (220809)",151
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Fort Worth ISD (220905)",22
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Godley ISD (126911)",21
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grand Prairie ISD (057910)",20
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grandview ISD (126904)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grapevine-Colleyville ISD (220906)",10
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Great Hearts Texas (015835)",192
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hallsville ISD (102904)",59
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Harmony Science Acad (Waco) (161807)",734
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"High Point Academy (220819)",368
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hurst-Euless-Bedford ISD (220916)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Idea Public Schools (108807)",312
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"International Leadership Of Texas (057848)",96
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Joshua ISD (126905)",61
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Karnes City ISD (128901)",-999
"2020-2021",11,"Region XI Fort Worth","Crowley ISD (220912)","Traditional ISD/CSD",200,"Transfers Out To",100,"Keene ISD (126906)",13
