"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Athens ISD (107901)",6
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Crandall ISD (129901)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Edgewood ISD (234903)",21
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Fruitvale ISD (234909)",6
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Grand Saline ISD (234904)",19
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Kaufman ISD (129903)",8
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Mabank ISD (129905)",8
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Martins Mill ISD (234905)",21
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Rains ISD (190903)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Terrell ISD (129906)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Van ISD (234906)",14
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",100,"Wills Point ISD (234907)",31
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",143
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Athens ISD (107901)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brownsboro ISD (107902)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Cumberland Academy (212801)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Edgewood ISD (234903)",10
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Eustace ISD (107905)",17
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Fruitvale ISD (234909)",13
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grapevine-Colleyville ISD (220906)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Kaufman ISD (129903)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Kemp ISD (129904)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Mabank ISD (129905)",16
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Martins Mill ISD (234905)",26
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Rains ISD (190903)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Ranch Academy (234801)",16
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Tyler ISD (212905)",-9999999
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Van ISD (234906)",13
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Wills Point ISD (234907)",13
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",142
"2016-2017",10,"Region X Richardson","Canton ISD (234902)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

