SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,57816,A W BROWN LEADERSHIP ACADEMY,10,OPEN ENROLLMENT CHARTER,975,311,0,33,733,-999,-999,-999,0,-999,0,12,60,975
STATE,DISTRICT,2022-2023,57829,A+ ACADEMY,10,OPEN ENROLLMENT CHARTER,1588,1245,84,62,1485,860,286,-999,88,-999,0,32,174,1588
STATE,DISTRICT,2022-2023,101871,A+ UNLIMITED POTENTIAL,4,OPEN ENROLLMENT CHARTER,156,76,0,-999,117,-999,-999,0,0,-999,0,14,30,156
STATE,DISTRICT,2022-2023,109901,ABBOTT ISD,12,TRADITIONAL ISD/CSD,286,65,0,28,77,-999,-999,-999,20,-999,-999,20,38,286
STATE,DISTRICT,2022-2023,95901,ABERNATHY ISD,17,TRADITIONAL ISD/CSD,835,419,0,60,403,19,19,0,132,-999,14,85,92,833
STATE,DISTRICT,2022-2023,221901,ABILENE ISD,14,TRADITIONAL ISD/CSD,15253,9379,153,532,11002,944,723,162,1354,850,1136,809,2525,6837
STATE,DISTRICT,2022-2023,57814,ACADEMY FOR ACADEMIC EXCELLENCE,10,OPEN ENROLLMENT CHARTER,358,358,0,17,358,58,56,11,0,0,0,23,88,358
STATE,DISTRICT,2022-2023,14901,ACADEMY ISD,12,TRADITIONAL ISD/CSD,1835,718,0,92,791,122,104,-999,143,31,247,208,232,1835
STATE,DISTRICT,2022-2023,101810,ACADEMY OF ACCELERATED LEARNING INC,4,OPEN ENROLLMENT CHARTER,850,571,205,-999,802,537,331,0,0,23,0,13,20,850
STATE,DISTRICT,2022-2023,57810,ACADEMY OF DALLAS,10,OPEN ENROLLMENT CHARTER,269,227,0,-999,252,25,25,0,0,0,0,0,42,269
STATE,DISTRICT,2022-2023,101849,ACCELERATED INTERMEDIATE ACADEMY,4,OPEN ENROLLMENT CHARTER,138,67,0,0,122,48,47,0,0,0,0,0,-999,138
STATE,DISTRICT,2022-2023,180903,ADRIAN ISD,16,TRADITIONAL ISD/CSD,120,66,0,24,78,-999,-999,0,-999,0,-999,21,20,120
STATE,DISTRICT,2022-2023,57806,ADVANTAGE ACADEMY,10,OPEN ENROLLMENT CHARTER,1012,746,0,28,893,245,234,-999,18,28,-999,34,92,1012
STATE,DISTRICT,2022-2023,178901,AGUA DULCE ISD,2,TRADITIONAL ISD/CSD,408,212,0,22,312,-999,-999,0,-999,-999,-999,37,34,408
STATE,DISTRICT,2022-2023,15901,ALAMO HEIGHTS ISD,20,TRADITIONAL ISD/CSD,4762,1412,463,318,1026,346,142,-999,1045,11,382,660,564,64
STATE,DISTRICT,2022-2023,250906,ALBA-GOLDEN ISD,7,TRADITIONAL ISD/CSD,823,386,0,63,469,18,18,0,50,27,-999,92,122,823
STATE,DISTRICT,2022-2023,209901,ALBANY ISD,14,TRADITIONAL ISD/CSD,498,232,0,39,220,14,14,-999,22,10,19,49,69,498
STATE,DISTRICT,2022-2023,101902,ALDINE ISD,4,TRADITIONAL ISD/CSD,60074,51478,9364,3308,55019,26888,10154,291,2726,237,138,3144,5807,59963
STATE,DISTRICT,2022-2023,184907,ALEDO ISD,11,TRADITIONAL ISD/CSD,7857,1659,0,678,1220,217,217,-999,605,51,799,905,869,1387
STATE,DISTRICT,2022-2023,125901,ALICE ISD,2,TRADITIONAL ISD/CSD,4506,2611,0,245,3745,120,105,13,119,111,39,409,649,4506
STATE,DISTRICT,2022-2023,101903,ALIEF ISD,4,TRADITIONAL ISD/CSD,40329,34532,9661,1612,34933,21747,9852,58,1875,971,128,1079,4916,40329
STATE,DISTRICT,2022-2023,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,4,OPEN ENROLLMENT CHARTER,370,286,0,10,303,273,273,0,0,0,0,-999,23,370
STATE,DISTRICT,2022-2023,43901,ALLEN ISD,10,TRADITIONAL ISD/CSD,21769,6157,225,1963,3862,2455,1517,25,3159,37,1318,2375,3064,1097
STATE,DISTRICT,2022-2023,22901,ALPINE ISD,18,TRADITIONAL ISD/CSD,954,366,0,22,498,69,32,0,31,-999,0,34,132,954
STATE,DISTRICT,2022-2023,37901,ALTO ISD,7,TRADITIONAL ISD/CSD,536,259,0,26,418,110,102,-999,35,20,29,51,100,536
STATE,DISTRICT,2022-2023,126901,ALVARADO ISD,11,TRADITIONAL ISD/CSD,3750,1705,228,141,2561,907,446,-999,244,43,15,304,395,2577
STATE,DISTRICT,2022-2023,20901,ALVIN ISD,4,TRADITIONAL ISD/CSD,29188,14062,1544,1429,15662,5170,3634,106,2038,275,370,1953,3978,14040
STATE,DISTRICT,2022-2023,249901,ALVORD ISD,11,TRADITIONAL ISD/CSD,821,311,0,87,298,44,44,-999,85,-999,-999,106,133,372
STATE,DISTRICT,2022-2023,188901,AMARILLO ISD,16,TRADITIONAL ISD/CSD,30342,15821,1178,1820,21558,5434,3864,37,1636,1195,104,1460,4721,24271
STATE,DISTRICT,2022-2023,84804,AMBASSADORS PREPARATORY ACADEMY,4,OPEN ENROLLMENT CHARTER,170,-999,0,-999,151,0,0,0,-999,0,0,-999,-999,170
STATE,DISTRICT,2022-2023,140901,AMHERST ISD,17,TRADITIONAL ISD/CSD,120,90,0,-999,104,69,69,0,-999,0,-999,-999,17,120
STATE,DISTRICT,2022-2023,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,4,OPEN ENROLLMENT CHARTER,567,500,79,-999,562,497,105,0,0,0,0,-999,40,567
STATE,DISTRICT,2022-2023,36901,ANAHUAC ISD,4,TRADITIONAL ISD/CSD,1493,424,0,104,920,116,95,0,88,23,91,125,222,1039
STATE,DISTRICT,2022-2023,93901,ANDERSON-SHIRO CISD,6,TRADITIONAL ISD/CSD,934,218,0,110,400,35,35,0,57,-999,-999,84,139,934
STATE,DISTRICT,2022-2023,2901,ANDREWS ISD,18,TRADITIONAL ISD/CSD,4198,2005,435,365,2075,662,258,32,290,69,101,368,549,4148
STATE,DISTRICT,2022-2023,20902,ANGLETON ISD,4,TRADITIONAL ISD/CSD,6925,3750,706,478,4813,1100,625,-999,388,85,294,764,1034,4780
STATE,DISTRICT,2022-2023,43902,ANNA ISD,10,TRADITIONAL ISD/CSD,5018,2383,137,491,2673,663,369,20,253,26,333,766,725,1777
STATE,DISTRICT,2022-2023,127901,ANSON ISD,14,TRADITIONAL ISD/CSD,752,451,0,55,468,20,17,-999,56,100,19,37,106,752
