"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Agua Dulce ISD (178901)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Alice ISD (125901)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Benavides ISD (066901)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Bishop CISD (178902)",7
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Premont ISD (125905)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Ramirez CSD (066005)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",100,"Ricardo ISD (137902)",72
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Alice ISD (125901)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Ben Bolt-Palito Blanco ISD (125902)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Bishop CISD (178902)",256
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brooks County ISD (024901)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Calallen ISD (178903)",10
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Corpus Christi ISD (178904)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Driscoll ISD (178905)",47
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Idea Public Schools (108807)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Jubilee Academic Center (015822)",226
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"London ISD (178906)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Ricardo ISD (137902)",139
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Riviera ISD (137903)",54
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Robstown ISD (178909)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"San Diego ISD (066902)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Santa Gertrudis ISD (137904)",427
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"School Of Science And Technology D (015831)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sinton ISD (205906)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",5
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Tuloso-Midway ISD (178912)",-9999999
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",1184
"2016-2017",02,"Region II Corpus Christi","Kingsville ISD (137901)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

