"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Alvarado ISD (126901)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Azle ISD (220915)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Birdville ISD (220902)",5
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Eagle Mt-Saginaw ISD (220918)",9
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Everman ISD (220904)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Fort Worth ISD (220905)",18
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Keller ISD (220907)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"Lake Worth ISD (220910)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",100,"White Settlement ISD (220920)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",200,"","."
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",200,"Total Transfers In",45
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",100,"Transfers In From",300,"","."
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Arlington ISD (220901)",5
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Azle ISD (220915)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Birdville ISD (220902)",6
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Brazos River Charter School (213801)",7
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Bridgeport ISD (249903)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Dallas ISD (057905)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Eagle Mt-Saginaw ISD (220918)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Fort Worth Can Academy (220804)",98
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Fort Worth ISD (220905)",5
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Harmony Science Acad (Fort Worth) (220813)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Honors Academy (057825)",21
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Keller ISD (220907)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Lake Worth ISD (220910)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Marshall ISD (102902)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Paint Rock ISD (048903)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Richard Milburn Academy (Fort Wort (220812)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"White Settlement ISD (220920)",7
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",100,"Winfree Academy Charter Schools (057828)",-9999999
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",200,"","."
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",200,"Total Transfers Out",176
"2011-12",11,"Region XI Fort Worth","Castleberry ISD (220917)",200,"Transfers Out To",300,"","."

