"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Burkburnett ISD (243901)",25
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Electra ISD (243902)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Henrietta ISD (039902)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Iowa Park CISD (243903)",25
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Petrolia CISD (039903)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Prairie Valley ISD (169909)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Vernon ISD (244903)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",100,"Wichita Falls ISD (243905)",177
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",236
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Burkburnett ISD (243901)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Electra ISD (243902)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Henrietta ISD (039902)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Holliday ISD (005902)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Iowa Park CISD (243903)",19
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Petrolia CISD (039903)",-999
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Wichita Falls ISD (243905)",49
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",79
"2017-2018",09,"Region IX Wichita Falls","City View ISD (243906)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

